C,kernel,gamma,tf_idf,count_vectorizer,pca,pca_n_components,accuracy,precision,recall,f1
0.1,linear,auto,True,False,True,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
0.1,linear,scale,True,False,True,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
0.1,rbf,auto,True,False,True,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
0.1,rbf,scale,True,False,True,200,0.8333333333333334,0.8433333333333334,0.8333333333333334,0.8123809523809523
1,linear,auto,True,False,True,200,0.9666666666666667,0.975,0.9666666666666667,0.9657142857142857
1,linear,scale,True,False,True,200,0.9666666666666667,0.975,0.9666666666666667,0.9657142857142857
1,rbf,auto,True,False,True,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
1,rbf,scale,True,False,True,200,0.8166666666666667,0.7858333333333334,0.8166666666666667,0.7820238095238093
10,linear,auto,True,False,True,200,0.95,0.9625,0.95,0.9485714285714285
10,linear,scale,True,False,True,200,0.95,0.9625,0.95,0.9485714285714285
10,rbf,auto,True,False,True,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
10,rbf,scale,True,False,True,200,0.95,0.9625,0.95,0.9485714285714285
0.1,linear,auto,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
0.1,linear,scale,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
0.1,rbf,auto,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
0.1,rbf,scale,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
1,linear,auto,True,False,,200,0.9666666666666667,0.975,0.9666666666666667,0.9657142857142857
1,linear,scale,True,False,,200,0.9666666666666667,0.975,0.9666666666666667,0.9657142857142857
1,rbf,auto,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
1,rbf,scale,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
10,linear,auto,True,False,,200,0.95,0.9625,0.95,0.9485714285714285
10,linear,scale,True,False,,200,0.95,0.9625,0.95,0.9485714285714285
10,rbf,auto,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
10,rbf,scale,True,False,,200,0.8333333333333334,0.7908333333333334,0.8333333333333334,0.7961904761904761
0.1,linear,auto,False,True,,200,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9661904761904762
0.1,linear,scale,False,True,,200,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9661904761904762
0.1,rbf,auto,False,True,,200,0.38333333333333336,0.7539473684210526,0.38333333333333336,0.4523170731707317
0.1,rbf,scale,False,True,,200,0.7333333333333333,0.8727083333333333,0.7333333333333333,0.7516228070175438
1,linear,auto,False,True,,200,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9661904761904762
1,linear,scale,False,True,,200,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9661904761904762
1,rbf,auto,False,True,,200,0.6333333333333333,0.9273550724637681,0.6333333333333333,0.6977289377289376
1,rbf,scale,False,True,,200,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8857142857142858
10,linear,auto,False,True,,200,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9661904761904762
10,linear,scale,False,True,,200,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9661904761904762
10,rbf,auto,False,True,,200,0.6333333333333333,0.9273550724637681,0.6333333333333333,0.6977289377289376
10,rbf,scale,False,True,,200,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8857142857142858
